D_Contestadas,% Completado,Edad,Genero,Estado,Estudios,¿En nombre de quién está contestando?,Edad Paciente,Genero Paciente,A Nombre de,Responsable,Socioeconomico,Atencion,D_collector_id,respondent_id
47,1,25 a 34 años,Masculino,Michoacán de Ocampo,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118969063286
47,1,25 a 34 años,Femenino,Ciudad de México,Carrera técnica,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C-,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118968936248
41,0.891304348,65 años en adelante,Masculino,San Luis Potosí,Maestría,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968859703
45,0.97826087,65 años en adelante,Masculino,Sinaloa,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118968708548
40,0.869565217,45 a 54 años,Femenino,Coahuila de Zaragoza,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,D,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968688270
48,1,35 a 44 años,Femenino,San Luis Potosí,Doctorado,"A nombre de un adulto que yo cuido (madre, padre, hermano, tíos, entre otros)",65 años en adelante,Femenino,"A nombre de un adulto que yo cuido (madre, padre, hermano, tíos, entre otros)",FALSE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118968630733
41,0.891304348,55 a 64 años,Masculino,Chiapas,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968562302
40,0.869565217,65 años en adelante,Masculino,Veracruz,Primaria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968459743
45,0.97826087,45 a 54 años,Femenino,Sinaloa,Carrera técnica,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968423788
46,1,45 a 54 años,Femenino,San Luis Potosí,Doctorado,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968422248
44,0.956521739,65 años en adelante,Masculino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118968409629
36,0.782608696,35 a 44 años,Femenino,Veracruz,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118968373898
41,0.891304348,65 años en adelante,Masculino,Colima,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968348276
47,1,55 a 64 años,Masculino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968327449
45,0.97826087,45 a 54 años,Masculino,Veracruz,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968323321
44,0.956521739,25 a 34 años,Masculino,Baja California,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C,Ambos tipos de instituciones (públicas y privadas),461757777,118968309822
47,1,35 a 44 años,Femenino,Puebla,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,Ambos tipos de instituciones (públicas y privadas),461757777,118968266558
37,0.804347826,25 a 34 años,Masculino,Tabasco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,D,Ambos tipos de instituciones (públicas y privadas),461757777,118968234164
47,1,55 a 64 años,Masculino,Tamaulipas,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968206752
41,0.891304348,55 a 64 años,Masculino,Nuevo León,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118968139938
40,0.869565217,35 a 44 años,Femenino,Jalisco,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118968065462
41,0.891304348,35 a 44 años,Femenino,Jalisco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968052530
42,0.913043478,45 a 54 años,Femenino,Jalisco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968039376
40,0.869565217,65 años en adelante,Masculino,Veracruz,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968035283
44,0.956521739,35 a 44 años,Femenino,Veracruz,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,D+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968027541
41,0.891304348,55 a 64 años,Masculino,Nuevo León,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118968028544
47,1,35 a 44 años,Masculino,Chihuahua,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118968026142
48,1,45 a 54 años,Femenino,Quintana Roo,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967999578
48,1,35 a 44 años,Femenino,Nuevo León,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118967988313
44,0.956521739,35 a 44 años,Femenino,Jalisco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967986556
47,1,25 a 34 años,Femenino,Veracruz,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967837833
43,0.934782609,55 a 64 años,Masculino,Guanajuato,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118967857510
48,1,35 a 44 años,Masculino,Chihuahua,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967844479
46,1,65 años en adelante,Masculino,Ciudad de México,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118967844351
44,0.956521739,35 a 44 años,Femenino,Jalisco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967840298
48,1,35 a 44 años,Femenino,Coahuila de Zaragoza,Licenciatura completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C-,Ambos tipos de instituciones (públicas y privadas),461757777,118967813180
33,0.717391304,45 a 54 años,Femenino,Chihuahua,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967820685
45,0.97826087,55 a 64 años,Masculino,Jalisco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967811584
49,1,35 a 44 años,Femenino,Baja California,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967803187
45,0.97826087,55 a 64 años,Masculino,Nuevo León,Carrera comercial,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967768627
46,1,25 a 34 años,Femenino,Chihuahua,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C-,Ambos tipos de instituciones (públicas y privadas),461757777,118967710104
48,1,45 a 54 años,Masculino,Jalisco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967693479
34,0.739130435,35 a 44 años,Femenino,Baja California,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,D+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967660215
41,0.891304348,45 a 54 años,Femenino,Veracruz,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967648794
45,0.97826087,65 años en adelante,Masculino,Jalisco,Carrera técnica,En mi nombre,,,En mi nombre,TRUE,D+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967639062
41,0.891304348,45 a 54 años,Femenino,Querétaro,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967615217
41,0.891304348,45 a 54 años,Masculino,Sinaloa,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,D,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967604285
49,1,65 años en adelante,Masculino,Jalisco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118967558378
47,1,45 a 54 años,Femenino,Chihuahua,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C,Ambos tipos de instituciones (públicas y privadas),461757777,118967437991
40,0.869565217,65 años en adelante,Masculino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118967401736
40,0.869565217,45 a 54 años,Masculino,Chiapas,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118967340254
50,1,55 a 64 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118967259349
